姓名,性别,手机号,邮箱,微信号,居住地,求职意向,个人简介,教育经历,工作/实践经历,项目经验,技能特长,自我评价
苏杰,男,18997076013,sujie329@gmail.com,wx_sujie_858,苏州,"期望岗位：算法工程师
期望城市：苏州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",9年算法工程师资深经验，精通全链路技术架构，具备团队技术规划与方案设计能力，主导过多个大型项目重构与升级，在高并发/系统稳定性领域有深厚积累，能够带领团队攻克技术难题，驱动业务技术升级。,"浙江大学 | 电子信息工程 | 本科
毕业时间：2013年6月
核心课程：数据库原理、数字信号处理、计算机网络、数据结构","【汇智信息技术有限公司】 算法工程师
2023年2月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审

【金蝶数据技术有限公司】 算法工程师
2020年11月 - 2023年7月
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【云创信息技术有限公司】 算法工程师
2017年2月 - 2020年7月
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审","■ 风控欺诈识别模型
  项目目标：识别交易欺诈行为，降低资金损失风险
  个人职责：特征工程，构建XGBoost风控模型，在线部署与迭代
  项目成果：欺诈识别准确率达92%，每年减少损失超200万

■ 个性化推荐系统
  项目目标：提升内容推荐精准度，增加用户停留时长
  个人职责：负责协同过滤、深度学习推荐模型开发与离线优化
  项目成果：用户平均停留时长提升25%，点击率提升15%","专业技能：深度学习、机器学习、Python、NLP、特征工程、算法优化
相关证书：计算机一级",拥有9年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
汪妍,女,15148259537,wangyan753@qq.com,15352690636,三明,"期望岗位：算法工程师
期望城市：三明
期望行业：互联网/信息技术/软件服务
期望薪资：面议",7年算法工程师资深经验，精通全链路技术架构，具备团队技术规划与方案设计能力，主导过多个大型项目重构与升级，在高并发/系统稳定性领域有深厚积累，能够带领团队攻克技术难题，驱动业务技术升级。,"南昌大学 | 软件技术 | 本科
毕业时间：2015年6月
核心课程：软件工程、数据库原理、数据结构、Java程序设计","【云创互联网科技有限公司】 算法工程师
2024年3月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【数聚网络科技有限公司】 算法工程师
2022年12月 - 2024年6月
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【汇智网络科技有限公司】 算法工程师
2020年1月 - 2022年9月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审","■ 风控欺诈识别模型
  项目目标：识别交易欺诈行为，降低资金损失风险
  个人职责：特征工程，构建XGBoost风控模型，在线部署与迭代
  项目成果：欺诈识别准确率达92%，每年减少损失超200万

■ 个性化推荐系统
  项目目标：提升内容推荐精准度，增加用户停留时长
  个人职责：负责协同过滤、深度学习推荐模型开发与离线优化
  项目成果：用户平均停留时长提升25%，点击率提升15%","专业技能：算法优化、Python、特征工程、计算机视觉、推荐算法、TensorFlow、SQL、机器学习
相关证书：英语四级、计算机二级",拥有7年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
孙峰,男,18860870306,sunfeng58@126.com,wx_sunfeng_838,泉州,"期望岗位：Java开发工程师
期望城市：泉州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",7年Java开发工程师资深经验，精通全链路技术架构，具备团队技术规划与方案设计能力，主导过多个大型项目重构与升级，在高并发/系统稳定性领域有深厚积累，能够带领团队攻克技术难题，驱动业务技术升级。,"南京工程学院 | 计算机科学与技术 | 本科
毕业时间：2015年6月
核心课程：软件工程、数字信号处理、机器学习、Java程序设计","【未来科技有限公司】 Java开发工程师
2024年1月 - 至今
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 负责公司Java开发工程师相关业务的开发与维护，参与需求评审

【智联软件有限公司】 Java开发工程师
2022年12月 - 2024年2月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【信雅数据技术有限公司】 Java开发工程师
2020年10月 - 2022年1月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司Java开发工程师相关业务的开发与维护，参与需求评审","■ 电商订单交易系统
  项目目标：搭建高可用电商订单系统，支撑大促流量峰值
  个人职责：负责订单创建、支付回调、库存扣减核心逻辑开发
  项目成果：支撑日均订单量10万+，系统可用性达99.95%

■ 微服务用户中心重构
  项目目标：将单体用户系统拆分为微服务架构，提升并发承载能力
  个人职责：负责登录、注册、权限模块开发，优化数据库查询与缓存策略
  项目成果：支持并发量从500提升至5000，接口响应耗时减少60%","专业技能：Redis、Git、Linux、MyBatis、MySQL、Docker、SpringCloud、Java、SpringBoot
相关证书：无",拥有7年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
尹璐,女,13646408287,yinlu321@126.com,wx_yinlu_729,厦门,"期望岗位：软件测试工程师
期望城市：厦门
期望行业：互联网/信息技术/软件服务
期望薪资：面议",本科计算机应用技术专业应届毕业生，掌握TestNG、Appium基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事软件测试工程师相关工作。,"浙江大学 | 计算机应用技术 | 本科
毕业时间：2022年6月
核心课程：算法设计与分析、Python编程、数据库原理、软件工程","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 网页兼容性测试实训
  项目目标：对多个网站进行浏览器兼容测试
  个人职责：制定测试方案，输出测试报告
  项目成果：覆盖5款主流浏览器","专业技能：Python、功能测试、Selenium、JMeter
相关证书：阿里云ACP云计算认证、计算机二级",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
黎洋,男,13145747978,liyang39@163.com,wx_liyang_313,南昌,"期望岗位：软件测试工程师
期望城市：南昌
期望行业：互联网/信息技术/软件服务
期望薪资：面议",1年软件测试工程师工作经验，精通性能测试、性能测试技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"南京理工大学 | 数学与应用数学 | 本科
毕业时间：2021年6月
核心课程：Python编程、操作系统、Java程序设计、数据库原理","【用友网络科技有限公司】 软件测试工程师
2025年4月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 负责公司软件测试工程师相关业务的开发与维护，参与需求评审
    · 对接产品、测试团队，跟进需求落地与缺陷修复","■ 电商平台功能测试
  项目目标：保障电商系统上线质量，覆盖全业务流程
  个人职责：设计测试用例，执行功能、回归测试，提交缺陷报告
  项目成果：发现并修复120+缺陷，上线后线上缺陷率低于0.5%

■ 自动化测试框架搭建
  项目目标：提升回归测试效率，减少人工重复劳动
  个人职责：基于Selenium搭建UI自动化框架，编写核心模块测试脚本
  项目成果：回归测试周期从7天缩短至2天，覆盖率达85%","专业技能：Postman、功能测试、缺陷管理、Appium、TestNG、性能测试、接口测试、Python、JMeter、MySQL
相关证书：英语四级、计算机二级、MySQL数据库认证",拥有1年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
杨梦瑶,女,15266957140,yangmengyao51@163.com,wx_yangmengyao_551,莆田,"期望岗位：前端开发工程师
期望城市：莆田
期望行业：互联网/信息技术/软件服务
期望薪资：面议",本科电子信息工程专业应届毕业生，有0段前端开发工程师实习经验，掌握Element UI技术栈，参与过实习项目开发，具备良好的代码规范与团队协作意识，能够快速上手业务，期望正式入职发展。,"南京大学 | 电子信息工程 | 本科
毕业时间：2022年6月
核心课程：算法设计与分析、Python编程、操作系统、数据库原理","【天擎互联网科技有限公司】 前端开发工程师（实习）
2018年4月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 负责公司前端开发工程师相关业务的开发与维护，参与需求评审","■ 校园社团官网（实训项目）
  项目目标：为学校社团开发官方展示网站
  个人职责：负责首页、新闻页、成员页开发
  项目成果：上线后访问量累计5000+

■ 个人博客系统（课程作业）
  项目目标：开发个人博客前端页面，实现文章展示与评论
  个人职责：负责页面布局、交互效果、接口联调
  项目成果：完成响应式页面，兼容多浏览器","专业技能：Element UI、Axios、CSS3、JavaScript、TypeScript、React
相关证书：无",有实习经验，熟悉开发基本流程，具备基础的项目实践能力；学习能力强，能够快速上手新业务新技术；工作踏实，责任心强，善于沟通协作，能够高效完成分配的工作任务。
廖雯,女,13105303823,liaowen9455@outlook.com,wx_liaowen_659,宁波,"期望岗位：Python开发工程师
期望城市：宁波
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科信息管理与信息系统专业应届毕业生，掌握Celery、Git基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事Python开发工程师相关工作。,"厦门海洋职业技术学院 | 信息管理与信息系统 | 专科
毕业时间：2022年6月
核心课程：算法设计与分析、Java程序设计、机器学习、Python编程","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 简单爬虫脚本开发
  项目目标：爬取公开网站数据并入库
  个人职责：负责反爬处理、数据清洗、SQLite存储
  项目成果：日均采集数据1万条","专业技能：Celery、Linux、Git、Flask
相关证书：英语四级、计算机二级",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
汪琳,女,13595011842,wanglin5266@qq.com,15974187070,佛山,"期望岗位：Python开发工程师
期望城市：佛山
期望行业：互联网/信息技术/软件服务
期望薪资：面议",本科计算机应用技术专业应届毕业生，有1段Python开发工程师实习经验，掌握Git技术栈，参与过实习项目开发，具备良好的代码规范与团队协作意识，能够快速上手业务，期望正式入职发展。,"中山大学 | 计算机应用技术 | 本科
毕业时间：2021年6月
核心课程：数据库原理、数字信号处理、软件工程、机器学习","【锐捷互联网科技有限公司】 Python开发工程师（实习）
2025年3月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司Python开发工程师相关业务的开发与维护，参与需求评审","■ 自动化办公脚本
  项目目标：批量处理Excel表格数据
  个人职责：实现数据合并、格式转换、自动统计
  项目成果：提升人工效率80%

■ 简单爬虫脚本开发
  项目目标：爬取公开网站数据并入库
  个人职责：负责反爬处理、数据清洗、SQLite存储
  项目成果：日均采集数据1万条","专业技能：爬虫、Celery、FastAPI、MySQL、Docker、Redis、Flask
相关证书：无",有实习经验，熟悉开发基本流程，具备基础的项目实践能力；学习能力强，能够快速上手新业务新技术；工作踏实，责任心强，善于沟通协作，能够高效完成分配的工作任务。
胡欣,女,13873415198,huxin00@gmail.com,15002159101,广州,"期望岗位：Python开发工程师
期望城市：广州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",4年Python开发工程师从业经验，精通Redis技术架构，主导过中型项目从0到1落地，擅长技术方案设计与性能优化，曾推动核心模块技术重构，带来显著效率提升，具备跨部门协作与项目推进能力。,"集美大学 | 物联网工程 | 本科
毕业时间：2018年6月
核心课程：计算机网络、操作系统、数据库原理、算法设计与分析","【易联科技有限公司】 Python开发工程师
2024年2月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 负责公司Python开发工程师相关业务的开发与维护，参与需求评审

【博思互联网科技有限公司】 Python开发工程师
2022年11月 - 2024年12月
    · 负责公司Python开发工程师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务","■ 数据采集爬虫系统
  项目目标：搭建分布式爬虫平台，采集多渠道公开数据
  个人职责：负责反爬策略破解、数据清洗、入库逻辑开发
  项目成果：日均采集数据50万条，数据准确率98%以上

■ 自动化运维平台
  项目目标：开发运维管理平台，实现服务器批量管理
  个人职责：负责监控、告警、任务调度模块后端开发
  项目成果：管理服务器200+，运维人力成本降低50%","专业技能：Flask、MySQL、FastAPI、Python、Docker、Linux、Git、Celery、爬虫
相关证书：无",拥有4年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
卢飞,男,15573695530,lufei542@gmail.com,15981294306,杭州,"期望岗位：算法工程师
期望城市：杭州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",2年算法工程师工作经验，精通TensorFlow、计算机视觉技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"南京工业职业技术大学 | 计算机科学与技术 | 专科
毕业时间：2020年6月
核心课程：Python编程、计算机网络、算法设计与分析、Java程序设计","【通元软件有限公司】 算法工程师
2025年5月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【数聚网络科技有限公司】 算法工程师
2024年9月 - 2025年7月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审
    · 对接产品、测试团队，跟进需求落地与缺陷修复","■ 风控欺诈识别模型
  项目目标：识别交易欺诈行为，降低资金损失风险
  个人职责：特征工程，构建XGBoost风控模型，在线部署与迭代
  项目成果：欺诈识别准确率达92%，每年减少损失超200万

■ 个性化推荐系统
  项目目标：提升内容推荐精准度，增加用户停留时长
  个人职责：负责协同过滤、深度学习推荐模型开发与离线优化
  项目成果：用户平均停留时长提升25%，点击率提升15%","专业技能：TensorFlow、推荐算法、PyTorch、计算机视觉、算法优化、数据结构、机器学习、深度学习、NLP
相关证书：阿里云ACP云计算认证、系统架构设计师、计算机一级",拥有2年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
龚皓,男,18267334015,gonghao75@qq.com,wx_gonghao_472,南昌,"期望岗位：Python开发工程师
期望城市：南昌
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科软件工程专业应届毕业生，掌握FastAPI、爬虫基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事Python开发工程师相关工作。,"南京工业职业技术大学 | 软件工程 | 专科
毕业时间：2022年6月
核心课程：数据库原理、算法设计与分析、机器学习、Java程序设计","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 自动化办公脚本
  项目目标：批量处理Excel表格数据
  个人职责：实现数据合并、格式转换、自动统计
  项目成果：提升人工效率80%","专业技能：Celery、FastAPI、MySQL、Django、Flask
相关证书：计算机一级",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
钱语桐,女,18317385575,qian语tong705@qq.com,wx_qian语tong_926,杭州,"期望岗位：软件测试工程师
期望城市：杭州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",1年软件测试工程师工作经验，精通Python、TestNG技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"福建船政交通职业学院 | 计算机科学与技术 | 专科
毕业时间：2021年6月
核心课程：操作系统、数据库原理、计算机网络、数据结构","【卓望数据技术有限公司】 软件测试工程师
2025年6月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司软件测试工程师相关业务的开发与维护，参与需求评审","■ 电商平台功能测试
  项目目标：保障电商系统上线质量，覆盖全业务流程
  个人职责：设计测试用例，执行功能、回归测试，提交缺陷报告
  项目成果：发现并修复120+缺陷，上线后线上缺陷率低于0.5%

■ 自动化测试框架搭建
  项目目标：提升回归测试效率，减少人工重复劳动
  个人职责：基于Selenium搭建UI自动化框架，编写核心模块测试脚本
  项目成果：回归测试周期从7天缩短至2天，覆盖率达85%","专业技能：缺陷管理、Python、JMeter、Postman、Selenium、接口测试、Appium、TestNG
相关证书：系统架构设计师、软考中级",拥有1年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
段一诺,女,18793246923,duan一nuo6878@163.com,wx_duan一nuo_356,苏州,"期望岗位：运维工程师
期望城市：苏州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",10年运维工程师资深经验，精通全链路技术架构，具备团队技术规划与方案设计能力，主导过多个大型项目重构与升级，在高并发/系统稳定性领域有深厚积累，能够带领团队攻克技术难题，驱动业务技术升级。,"南京理工大学 | 数字媒体技术 | 本科
毕业时间：2012年6月
核心课程：Python编程、数据库原理、算法设计与分析、计算机网络","【吉比特网络】 运维工程师
2023年11月 - 至今
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行

【新科软件有限公司】 运维工程师
2020年11月 - 2023年9月
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 负责公司运维工程师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务

【新科软件有限公司】 运维工程师
2017年6月 - 2020年4月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司运维工程师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务","■ CI/CD自动化流水线
  项目目标：实现代码自动化构建、测试、部署，提升发布效率
  个人职责：基于Jenkins搭建持续集成流水线，配置Docker容器化部署
  项目成果：发布周期从每周1次提升至每天3次，部署失误率降为0

■ 服务器集群运维优化
  项目目标：提升服务器集群稳定性，降低故障发生率
  个人职责：负责日常巡检、故障排查，优化监控告警规则与分级策略
  项目成果：服务器故障率下降60%，平均故障响应时间缩短至15分钟","专业技能：Redis、Zabbix、Shell、Ansible、Nginx、网络运维、Kubernetes、Docker、Linux
相关证书：无",拥有10年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
